,,,,radius,radius,silhouette,silhouette,ari,ari,tempo,tempo
,,,,mean,std,mean,std,mean,std,mean,std
dataset_name,algoritmo,metrica,eps,,,,,,,,
Condition Monitoring,intervalo,mahalanobis,0.15,32.20936662124679,0.0,-1.0,0.0,0.0,0.0,0.0008394933333571267,0.00010054430766734643
Condition Monitoring,intervalo,mahalanobis,0.25,32.20936662124679,0.0,-1.0,0.0,0.0,0.0,0.0007557266666480667,5.995563199090242e-05
Condition Monitoring,intervalo,minkowski,0.01,1385965.35785566,0.0,0.9910338451229797,0.0,-0.0018792158724506,0.0,0.0014530533333829867,0.0011342605224229764
Condition Monitoring,intervalo,minkowski,0.05,1385965.35785566,0.0,0.9910338451229797,0.0,-0.0018792158724506,0.0,0.0009896733332424867,6.076784241495221e-05
Condition Monitoring,intervalo,minkowski,0.1,1385965.35785566,0.0,0.9910338451229797,0.0,-0.0018792158724506,0.0,0.0013016933333346466,0.0012254649499913281
Condition Monitoring,intervalo,minkowski,0.15,1385965.35785566,0.0,0.9910338451229797,0.0,-0.0018792158724506,0.0,0.0011517132666691533,0.0007818089772083234
Condition Monitoring,intervalo,minkowski,0.25,1385965.35785566,0.0,0.9910338451229797,0.0,-0.0018792158724506,0.0,0.0009509466667016466,0.00030476581377091185
Dry Bean,intervalo,euclidiana,0.01,20550.31529490441,0.0,0.4875326552840259,0.0,0.3008374289394118,0.0,0.0012849533333185532,3.464701310914826e-05
Dry Bean,intervalo,euclidiana,0.05,20550.31529490441,0.0,0.4629379946792514,0.0,0.2641930494938545,0.0,0.0011477866666912268,0.00041893984712380026
Dry Bean,intervalo,euclidiana,0.1,30019.05260943235,0.0,0.5847565800599337,0.0,0.2029883707886011,0.0,0.00103499333329934,0.00032932670377393806
Dry Bean,intervalo,euclidiana,0.15,30019.05260943235,0.0,0.5847565800599337,0.0,0.2029883707886011,0.0,0.0008073399999678,4.43488412019891e-05
Dry Bean,intervalo,euclidiana,0.25,33615.88323917799,0.0,0.6384527091586113,0.0,0.1297423186583671,0.0,0.0007185000000086866,3.545238255238137e-05
Dry Bean,intervalo,mahalanobis,0.01,10.61599802499699,0.0,-0.6036170048061403,0.0,0.0048786251944527,0.0,0.0012380133333862867,0.00021750457430067959
Dry Bean,intervalo,mahalanobis,0.05,11.122443991033254,0.0,0.0328075342684302,0.0,0.0012529468842424,0.0,0.00098791333324086,0.00011503958246984511
Dry Bean,intervalo,mahalanobis,0.1,11.122443991033254,0.0,0.0328075342684302,0.0,0.0012529468842424,0.0,0.0008461600000372933,4.948456906875959e-05
Dry Bean,intervalo,mahalanobis,0.15,12.713102060894032,0.0,-1.0,0.0,0.0,0.0,0.0007471066666160134,8.134565992075884e-05
Dry Bean,intervalo,mahalanobis,0.25,12.713102060894032,0.0,-1.0,0.0,0.0,0.0,0.0006763200000022533,4.020949078781573e-05
Dry Bean,intervalo,minkowski,0.01,29343.630151192,0.0,0.4875326552840259,0.0,0.3008374289394118,0.0,0.0016434066666381932,0.0008827587256638478
Dry Bean,intervalo,minkowski,0.05,29343.630151192,0.0,0.4629379946792514,0.0,0.2641930494938545,0.0,0.0010724333333503402,7.317330371454547e-05
Dry Bean,intervalo,minkowski,0.1,42864.016729427,0.0,0.5846088716520795,0.0,0.2044868134977616,0.0,0.0011446866667331865,0.0006375237540780781
