dataset_idx,dataset_meta,algoritmo,eps,run,radius,silhouette,ari,tempo
0,"{""tipo"": ""blobs"", ""var"": 0}",gonzalez,,0,3.0558751979942227,0.7631248207580491,nan,0.00011260000019319705
0,"{""tipo"": ""blobs"", ""var"": 0}",intervalo,0.01,0,2.484488766588765,0.7659686024380011,nan,0.0012152000001606211
0,"{""tipo"": ""blobs"", ""var"": 0}",intervalo,0.05,0,2.484488766588765,0.7659686024380011,nan,0.0011739999999917927
0,"{""tipo"": ""blobs"", ""var"": 0}",intervalo,0.1,0,2.484488766588765,0.7659686024380011,nan,0.0009652999999616441
0,"{""tipo"": ""blobs"", ""var"": 0}",intervalo,0.15,0,5.00759761631185,0.8278455524506478,nan,0.000850399999990259
0,"{""tipo"": ""blobs"", ""var"": 0}",intervalo,0.25,0,4.879565870814877,0.8278455524506478,nan,0.0007312000000183616
0,"{""tipo"": ""blobs"", ""var"": 0}",kmeans,,0,nan,0.7659686024380011,nan,0.08716849999996157
0,"{""tipo"": ""blobs"", ""var"": 0}",gonzalez,,1,3.0558751979942227,0.7631248207580491,nan,6.250000001273293e-05
0,"{""tipo"": ""blobs"", ""var"": 0}",intervalo,0.01,1,2.484488766588765,0.7659686024380011,nan,0.001219400000081805
0,"{""tipo"": ""blobs"", ""var"": 0}",intervalo,0.05,1,2.484488766588765,0.7659686024380011,nan,0.0011257000001023698
0,"{""tipo"": ""blobs"", ""var"": 0}",intervalo,0.1,1,2.484488766588765,0.7659686024380011,nan,0.0009285999999519845
0,"{""tipo"": ""blobs"", ""var"": 0}",intervalo,0.15,1,5.00759761631185,0.8278455524506478,nan,0.0008523999999852094
0,"{""tipo"": ""blobs"", ""var"": 0}",intervalo,0.25,1,4.879565870814877,0.8278455524506478,nan,0.0007345000001350854
0,"{""tipo"": ""blobs"", ""var"": 0}",kmeans,,1,nan,0.7659686024380011,nan,0.08212289900006908
0,"{""tipo"": ""blobs"", ""var"": 0}",gonzalez,,2,3.0558751979942227,0.7631248207580491,nan,5.930000020271109e-05
0,"{""tipo"": ""blobs"", ""var"": 0}",intervalo,0.01,2,2.484488766588765,0.7659686024380011,nan,0.001211400000102003
0,"{""tipo"": ""blobs"", ""var"": 0}",intervalo,0.05,2,2.484488766588765,0.7659686024380011,nan,0.0018592000001262932
0,"{""tipo"": ""blobs"", ""var"": 0}",intervalo,0.1,2,2.484488766588765,0.7659686024380011,nan,0.0009202999999615713
0,"{""tipo"": ""blobs"", ""var"": 0}",intervalo,0.15,2,5.00759761631185,0.8278455524506478,nan,0.0018356999999014079
0,"{""tipo"": ""blobs"", ""var"": 0}",intervalo,0.25,2,4.879565870814877,0.8278455524506478,nan,0.0007376999999451073
0,"{""tipo"": ""blobs"", ""var"": 0}",kmeans,,2,nan,0.7659686024380011,nan,0.08076819999996587
0,"{""tipo"": ""blobs"", ""var"": 0}",gonzalez,,3,3.0558751979942227,0.7631248207580491,nan,5.529999998543644e-05
0,"{""tipo"": ""blobs"", ""var"": 0}",intervalo,0.01,3,2.484488766588765,0.7659686024380011,nan,0.0012964999998530402
0,"{""tipo"": ""blobs"", ""var"": 0}",intervalo,0.05,3,2.484488766588765,0.7659686024380011,nan,0.001070300000037605
